parent	child
A762.	A788.2.
A762.	A788.3.
A763.	A700.1.
A764.	J2271.2.2.
A766.	A779.
A766.	R321.
A767.	A659.1.
A771.	D1576.1.
A773.1.	T92.
A773.2.	S410.
A773.5.	A652.
A774.	A702.3.
A778.1.1.	E501.
A778.2.1.	E481.2.1.
A778.2.1.	E700.
A778.2.1.	F152.1.1.
A780.	A759.7.
A788.2.	A762.
A791.	N516.
A791.3.	F152.1.1.
A800.	A899.
A800.	A401.
A800.	A625.
A801.	A605.
A810.1.	A50.
A811.	A812.
A811.1.	A962.
A812.1.	A43.
A812.2.	A701.1.
A813.	A812.
A815.	A844.1.
A815.1.	A842.1.
A815.1.	A876.
A830.	A0.
A830.	A610.
A831.2.	A614.1.
A835.	A43.
A841.	A665.2.1.
A841.	A665.2.1.
A841.	F58.
A841.	F736.1.
A841.	F736.2.
A841.2.	A842.
A842.	A665.2.1.1.
A842.	F623.
A844.	A1145.
A844.1.	A815.
A844.4.	A44.5.
A844.6.	A1145.1.
A844.12.	A844.6.
A844.12.	A815.1.
A844.12.	A876.
A849.2.	B15.1.6.1.
A850.	A625.2.
A855.	A633.
A871.	A417.
A871.	A651.1.6.
A871.	A1127.
A871.	A1182.
A871.	D1273.1.2.
A872.	A671.2.2.5.
A872.	D1273.1.2.
A872.	F162.2.1.
A875.1.	A1181.
A875.1.	H681.3.
A875.2.	A871.1.
A876.	A815.1.
A876.	A842.1.
A876.	A1082.3.
A876.	B91.
A876.	B873.1.
A876.	H1149.2.
A876.1.	A1145.2.
A876.1.	B91.
A878.	A652.
A878.	C621.1.
A878.	D950.
A878.	E90.
A878.	F162.3.1.
A878.1.	F162.2.1.
A878.4.	D1472.
A900.	A72.
A900.	D683.1.
A901.	A920.1.
A901.	A920.1.
A901.	A941.
A901.	A941.
A901.	A982.
A901.	A984.
A901.	A2271.5.
A901.	F960.1.
A901.	F979.11.
A902.	A0.
A910.4.	A1010.
A910.5.	A116.
A911.	A920.1.
A911.	A941.
A911.	A1012.
A913.1.	A920.1.
A913.1.	A936.
A913.1.	D911.1.
A913.1.	F931.4.
A913.4.	D1171.14.
A920.1.	D2151.1.1.
A920.1.	F930.
A920.1.	D1486.1.
A920.1.	F934.2.
A920.1.1.	D1652.5.
A920.1.2.	A901.
A920.1.2.	X958.
A920.1.3.	A939.1.
A920.1.3.	F934.
A920.1.3.	Q212.
A920.1.3.	Q552.19.
A920.1.4.	A901.
A920.1.4.	A936.
A920.1.4.	F960.1.
A920.1.5.	A911.
A920.1.5.1.	D921.2.
A920.1.6.	A933.
A920.1.6.	F212.
A920.1.7.1.	F277.0.1.
A920.1.8.	F944.
A920.1.8.	Q220.
A920.1.8.1.	C900.
A920.1.8.1.	F933.6.
A920.1.8.1.	F934.2.
A920.1.9.	A951.
A920.1.11.	D283.
A920.1.12.	D1505.5.
A920.1.12.	F934.2.
A920.1.13.	D921.3.1.
A923.	A610.
A923.1.	A933.
A928.	F531.3.18.1.
A928.	H1142.2.
A930.	D915.
A930.	D1486.1.
A930.	D1549.3.
A930.	D2151.
