motif_id	parent
MIFL
A	MIFL
B	MIFL
C	MIFL
D	MIFL
E	MIFL
F	MIFL
G	MIFL
H	MIFL
J	MIFL
K	MIFL
L	MIFL
M	MIFL
N	MIFL
P	MIFL
Q	MIFL
R	MIFL
S	MIFL
T	MIFL
U	MIFL
V	MIFL
W	MIFL
X	MIFL
Z	MIFL
D550	D500-D599
D560	D500-D599
D600-D699	D0-D699
D610	D600-D699
D620	D600-D699
D630	D600-D699
D640	D600-D699
D660	D600-D699
D670	D600-D699
D680	D600-D699
D700-D799	D
D710	D700-D799
D720	D700-D799
D730	D700-D799
D750	D700-D799
D760	D700-D799
D790	D700-D799
D800-D1699	D
D800-D899	D800-D1699
D800	D800-D899
D810-D859	D800-D899
D810	D810-D859
D830	D810-D859
D840	D810-D859
D850	D810-D859
D860	D800-D899
D880	D800-D899
D900-D1299	D800-D1699
D900	D900-D1299
D910	D900-D1299
D930	D900-D1299
D940	D900-D1299
D950	D900-D1299
D960	D900-D1299
D980	D900-D1299
D990-D1029	D900-D1299
D990	D990-D1029
D1010	D990-D1029
D1030	D900-D1299
D1040	D900-D1299
D1050	D900-D1299
D1070	D900-D1299
D1080	D900-D1299
D1110	D900-D1299
D1130	D900-D1299
D1150	D900-D1299
D1170	D900-D1299
D1210	D900-D1299
D1240	D900-D1299
D1250	D900-D1299
D1300-D1599	D800-D1699
D1300-D1379	D1300-D1599
D1300	D1300-D1379
D1310	D1300-D1379
D1330	D1300-D1379
D1350	D1300-D1379
D1360	D1300-D1379
D1380	D1300-D1599
D1390	D1300-D1599
D1400-D1599	D1300-D1599
D1400	D1400-D1599
D1410	D1400-D1599
D1420	D1400-D1599
D1430	D1400-D1599
D1440	D1400-D1599
D1450	D1400-D1599
D1470	D1400-D1599
D1500	D1400-D1599
D1520	D1400-D1599
D1540	D1400-D1599
D1550	D1400-D1599
D1560	D1400-D1599
D1600-D1699	D800-D1699
D1600-D1649	D1600-D1699
D1600	D1600-D1649
D1610	D1600-D1649
D1620	D1600-D1649
D1640	D1600-D1649
D1650	D1600-D1699
D1700-D2199	D
D1710-D1799	D1700-D2199
D1710	D1710-D1799
D1720	D1710-D1799
D1740	D1710-D1799
D1750	D1710-D1799
D1760	D1710-D1799
D1800-D2199	D1700-D2199
D1800-D1949	D1800-D2199
D1810	D1800-D1949
D1820	D1800-D1949
D1830	D1800-D1949
D1840	D1800-D1949
D1850	D1800-D1949
D1860	D1800-D1949
D1870	D1800-D1949
D1880	D1800-D1949
D1890	D1800-D1949
D1900	D1800-D1949
D1910	D1800-D1949
D1920	D1800-D1949
D1950-D2049	D1800-D2199
D1960	D1950-D2049
D1980	D1950-D2049
D2000	D1950-D2049
D2020	D1950-D2049
D2030	D1950-D2049
D2050-D2099	D1800-D2199
D2060	D2050-D2099
D2070	D2050-D2099
D2080	D2050-D2099
D2090	D2050-D2099
D2100-D2149	D1800-D2199
D2100	D2100-D2149
D2120	D2100-D2149
D2140	D2100-D2149
D2150-D2199	D1800-D2199
E10	E
E30	E
E50	E
E80	E
E90	E
E100	E
E120	E
E150	E
E200-E599	E
E200-E299	E200-E599
E200	E200-E299
E210	E200-E299
E220	E200-E299
E230	E200-E299
E250	E200-E299
E260	E200-E299
E280	E200-E299
E300-E399	E200-E599
E300	E300-E399
E310	E300-E399
E320	E300-E399
E340	E300-E399
E360	E300-E399
E380	E300-E399
E390	E300-E399
E400-E599	E200-E599
E400	E400-E599
E410	E400-E599
E420	E400-E599
E430	E400-E599
E440	E400-E599
E460	E400-E599
E470	E400-E599
E480	E400-E599
E490	E400-E599
E500	E400-E599
E510	E400-E599
E520	E400-E599
E530	E400-E599
E540	E400-E599
E600-E699	E
E600	E600-E699
E610	E600-E699
E630	E600-E699
E650	E600-E699
E670	E600-E699
E690	E600-E699
E700-E799	E
E700	E700-E799
E710	E700-E799
E720	E700-E799
E730	E700-E799
E740	E700-E799
E750	E700-E799
E760	E700-E799
E770	E700-E799
E780	E700-E799
F10-F79	F
F10	F10-F79
F30	F10-F79
F50	F10-F79
F60	F10-F79
F80-F109	F
F80	F80-F109
F90	F
F100	F
F110-F199	F
F110	F110-F199
F130	F110-F199
F140	F110-F199
F150	F110-F199
F160	F110-F199
F170	F110-F199
F200-F699	F
F200-F399	F200-F699
F200	F200-F399
F210	F200-F699
F220	F200-F699
F230	F200-F699
F240	F200-F699
F250	F200-F699
F260	F200-F699
F300-F399	F200-F699
F300	F300-F399
F310	F300-F399
F320	F300-F399
F330	F300-F399
F340	F300-F399
F350	F300-F399
F360	F300-F399
F370	F300-F399
F380	F300-F399
F390	F300-F399
F400-F5499	F200-F699
F400	F400-F5499
F420	F200-F699
F430	F200-F699
F440	F200-F699
F450	F200-F699
F460	F200-F699
F470	F200-F699
F480	F200-F699
F490	F200-F699
F500-F599	F200-F699
F500	F500-F599
F510	F500-F599
F530	F500-F599
F540	F500-F599
F560	F500-F599
F570	F500-F599
F600-F699	F200-F699
F600	F600-F699
F610	F600-F699
F640	F600-F699
F660	F600-F699
F680	F600-F699
F700-F899	F
F700	F700-F899
F710	F
F720	F
F730	F
F750	F
F760	F
F770	F
F790	F
F800	F
F810	F
F820	F
F830	F
F840	F
F900-F1099	F
F910	F900-F1099
F930	F900-F1099
F940	F900-F1099
F950	F900-F1099
F960	F900-F1099
F970	F900-F1099
F980	F900-F1099
F990	F900-F1099
F1010	F900-F1099
G10-G399	G
G10-G99	G10-G399
G10-G49	G10-G99
G10	G10-G49
G20	G10-G49
G30	G10-G49
