motif_id	cultural_term
A102.1	Icel.: MacCulloch Eddic 47 (Odin); Irish Myth: Cross; Jewish: Neuman. So. Am. Indian (Chiriguano): Mi traux RMLP XXXIII 173
A102.1	(Guarani): Mi traux BBAE CXLIII (3) 93.
A102.2	Jewish: Neuman; Greek: Aeschylus Suppliants line 138.
A102.3	Jewish: Neuman.
A102.4	Jewish: *Neuman.
A102.5	Jewish: Neuman; India: Thompson-Balys.
A102.6	Jewish: Neuman.
A102.7	Jewish: Neuman.
A102.8	Jewish: Neuman.
A102.9	Jewish: Neuman.
A102.10	Jewish: Neuman.
A102.11	Jewish: Neuman.
A102.12	Jewish: Neuman.
A102.13	Jewish: Neuman.
A102.14	Jewish: Neuman.
A102.15	Jewish: Neuman.
A102.16	Jewish: Neuman.
A102.17	Jewish: Neuman.
A102.18	Buddhist myth: Malalasekera II 959.
A102.19	Jewish: Neuman.
A103	Greek: Grote I 3; Hindu: Keith 50ff.
A103	73ff.
A103	82ff.; India: Thompson-Balys.
A104.1	Hawaii: *Beckwith Myth 2
A104.1	ch.
A104.2	Hawaii: Beckwith Myth 2.
A104.3	Hawaii: Beckwith Myth 2.
A104.4	Hawaii: Beckwith Myth 45.
A106	Hindu: Keith 84; *Penzer I 197; India: Thompson-Balys. Indians (Antioquians): Alexander Lat. Am. Jewish: Neuman.
A106.0.1	India: Thompson-Balys.
A106.1	Babylonian: Spence 75.
A106.1.1	India: Thompson-Balys.
A106.2	Jensen Dania II 180; Olrik ibid.
A106.2.1	India: Thompson-Balys; Jewish: Neuman.
A106.2.1.1	India: Thompson-Balys.
A106.2.1.2	India: Thompson-Balys.
A106.2.2	Jewish: Neuman.
A106.3	Jewish: Neuman.
A107	Babylonian: Spence 74; Irish myth: Cross; Jewish: Neuman.
A108	Chinese: Werner 248.
A108.1	Irish myth: Cross; Hawaii: Beckwith Myth 60.
A109.1	Hawaii: Beckwith Myth 44; Icel.: Boberg.
A109.2	Maori: Beckwith Myth 179.
A111	Hawaii: Beckwith Myth 171.
